onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.20861172597779	1.2002	1	1	157	0.504	1	0	0.9446	0	1
NaN	1.2001	2	1	67	0.5125	1	0	0.8578	0	1
NaN	1.2001	3	1	26	0.5076	1	0	0.77	0	1
NaN	1.2	4	1	136	0.5067	1	0	0.7805	0	1
NaN	1.2	5	1	101	0.5064	1	0	0.8893	0	1
NaN	1.2	6	1	37	0.5056	1	0	0.7651	0	1
NaN	1.2	7	1	15	0.5054	1	0	0.8954	0	1
NaN	1.2	8	1	8	0.5065	1	0	0.9308	0	1
NaN	1.2	9	1	127	0.5059	1	0	0.7724	0	1
NaN	1.2	10	1	128	0.5071	1	0	0.7791	0	1
NaN	1.2	11	2	102	0.5059	2	0	0.7887	0	1
NaN	1.2	12	1	9	0.5035	1	0	0.782	0	1
NaN	1.2	13	1	61	0.5035	1	0	0.7928	0	1
NaN	1.2	14	1	20	0.5029	1	0	0.7444	0	1
NaN	1.2	15	1	29	0.5067	1	0	0.7711	0	1
NaN	1.2	16	1	166	0.5065	1	0	0.8244	0	1
NaN	1.2	17	1	116	0.5044	1	0	0.841	0	1
NaN	1.2	18	1	47	0.5021	1	0	0.7491	0	1
NaN	1.2	19	1	147	0.504	2	0	0.8364	0	0
NaN	1.2	20	1	64	0.5038	2	0	1.068	0	0
NaN	1.2	21	1	125	0.5034	1	0	0.8979	0	1
NaN	1.2	22	2	156	0.511	2	0	0.7332	0	1
NaN	1.2	23	2	108	0.5099	2	0	0.9998	0	1
NaN	1.2	24	1	88	0.5096	1	0	0.8684	0	1
NaN	1.2	25	1	52	0.5101	1	0	0.935	0	1
NaN	1.2	26	1	22	0.5089	1	0	0.9057	0	1
NaN	1.2	27	1	75	0.5095	1	0	0.8114	0	1
NaN	1.2	28	1	43	0.5085	1	0	0.8173	0	1
NaN	1.2	29	1	113	0.5086	1	0	0.7746	0	1
NaN	1.2	30	1	38	0.5081	1	0	1.1194	0	1
NaN	1.2	31	1	32	0.5079	1	0	0.7017	0	1
NaN	1.2	32	1	129	0.5077	1	0	0.9516	0	1
NaN	1.2	33	1	171	0.5074	1	0	0.9376	0	1
NaN	1.2	34	2	78	0.5097	2	0	0.7483	0	1
NaN	1.2	35	2	168	0.5084	2	0	0.7454	0	1
NaN	1.2	36	1	165	0.5064	2	0	0.9242	0	0
NaN	1.2	37	1	118	0.5081	1	0	0.8348	0	1
NaN	1.2	38	1	98	0.5076	1	0	0.8751	0	1
NaN	1.2	39	1	56	0.5076	1	0	0.8	0	1
NaN	1.2	40	1	35	0.5069	1	0	0.6559	0	1
NaN	1.2	41	1	70	0.5064	1	0	0.627	0	1
NaN	1.2	42	1	57	0.506	1	0	0.8969	0	1
NaN	1.2	43	2	42	0.5056	1	0	0.7737	0	0
NaN	1.2	44	1	46	0.5062	1	0	0.8723	0	1
NaN	1.2	45	1	23	0.5062	1	0	0.8502	0	1
NaN	1.2	46	1	111	0.5049	1	0	0.8023	0	1
NaN	1.2	47	2	174	0.5052	2	0	0.6713	0	1
NaN	1.2	48	2	54	0.5044	2	0	0.6736	0	1
NaN	1.2	49	1	117	0.505	1	0	0.7442	0	1
NaN	1.2	50	1	16	0.5042	1	0	0.778	0	1
NaN	1.2	51	1	97	0.5048	1	0	0.6999	0	1
NaN	1.2	52	1	135	0.5046	1	0	0.8572	0	1
NaN	1.2	53	1	44	0.503	1	0	0.693	0	1
NaN	1.2	54	2	138	0.5042	2	0	0.7004	0	1
NaN	1.2	55	1	58	0.504	1	0	0.6823	0	1
NaN	1.2	56	1	159	0.5061	1	0	0.7949	0	1
NaN	1.2	57	1	14	0.5039	1	0	0.7723	0	1
NaN	1.2	58	1	142	0.5046	1	0	0.757	0	1
NaN	1.2	59	1	85	0.5015	1	0	0.7849	0	1
NaN	1.2	60	1	39	0.501	1	0	0.8542	0	1
NaN	1.2	61	1	55	0.5108	1	0	0.845	0	1
NaN	1.2	62	1	158	0.5097	1	0	0.9444	0	1
NaN	1.2	63	2	6	0.5098	2	0	0.6862	0	1
NaN	1.2	64	1	92	0.5096	1	0	0.8139	0	1
NaN	1.2	65	1	139	0.5091	1	0	0.7466	0	1
NaN	1.2	66	1	83	0.5087	1	0	0.6551	0	1
NaN	1.2	67	1	175	0.5084	1	0	0.6708	0	1
NaN	1.2	68	1	45	0.5086	1	0	0.6665	0	1
NaN	1.2	69	1	164	0.5095	1	0	0.5873	0	1
NaN	1.2	70	1	160	0.509	1	0	0.5096	0	1
NaN	1.2	71	1	153	0.5077	1	0	0.5292	0	1
NaN	1.2	72	1	148	0.5082	1	0	0.6789	0	1
NaN	1.2	73	1	13	0.5072	1	0	0.7438	0	1
NaN	1.2	74	1	115	0.5074	1	0	0.6739	0	1
NaN	1.2	75	2	30	0.5072	2	0	0.7526	0	1
NaN	1.2	76	2	120	0.5066	2	0	0.7454	0	1
NaN	1.2	77	1	25	0.5062	1	0	0.9408	0	1
NaN	1.2	78	1	40	0.5061	1	0	0.6756	0	1
NaN	1.2	79	1	123	0.5056	1	0	0.6354	0	1
NaN	1.2	80	1	100	0.5053	1	0	0.8509	0	1
NaN	1.2	81	2	126	0.5069	2	0	0.7124	0	1
NaN	1.2	82	1	173	0.5068	1	0	0.723	0	1
NaN	1.2	83	1	177	0.5071	1	0	0.6427	0	1
NaN	1.2	84	1	10	0.5062	1	0	0.8024	0	1
NaN	1.2	85	1	33	0.5059	1	0	0.7642	0	1
NaN	1.2	86	1	137	0.5051	1	0	0.9386	0	1
NaN	1.2	87	1	76	0.5054	1	0	0.7792	0	1
NaN	1.2	88	1	149	0.505	1	0	0.7459	0	1
NaN	1.2	89	1	146	0.5044	1	0	0.8506	0	1
NaN	1.2	90	2	114	0.5038	2	0	0.7562	0	1
NaN	1.2	91	2	144	0.5046	2	0	0.6265	0	1
NaN	1.2	92	2	60	0.5044	2	0	0.7446	0	1
NaN	1.2	93	1	103	0.5032	1	0	0.6871	0	1
NaN	1.2	94	1	154	0.5029	1	0	0.9969	0	1
NaN	1.2	95	1	178	0.5023	1	0	0.9519	0	1
NaN	1.2	96	1	109	0.5023	1	0	0.8708	0	1
NaN	1.2	97	2	90	0.5103	2	0	0.7594	0	1
NaN	1.2	98	1	172	0.5038	1	0	0.7073	0	1
NaN	1.2	99	1	4	0.5099	1	0	0.637	0	1
NaN	1.2	100	2	180	0.51	2	0	0.9656	0	1
NaN	1.2	101	2	12	0.5101	2	0	0.7311	0	1
NaN	1.2	102	1	82	0.5092	1	0	0.586	0	1
NaN	1.2	103	2	24	0.5099	2	0	0.7433	0	1
NaN	1.2	104	1	49	0.5087	1	0	0.745	0	1
NaN	1.2	105	1	3	0.5094	1	0	0.8188	0	1
NaN	1.2	106	1	89	0.508	1	0	0.9394	0	1
NaN	1.2	107	1	169	0.5082	1	0	0.7289	0	1
NaN	1.2	108	1	87	0.5088	1	0	0.7884	0	1
NaN	1.2	109	1	105	0.5074	1	0	0.6542	0	1
NaN	1.2	110	1	74	0.5075	1	0	0.7719	0	1
NaN	1.2	111	1	133	0.5071	1	0	0.9326	0	1
NaN	1.2	112	1	73	0.5084	1	0	0.7084	0	1
NaN	1.2	113	1	143	0.5076	1	0	0.7887	0	1
NaN	1.2	114	1	19	0.5069	1	0	0.864	0	1
NaN	1.2	115	1	140	0.5059	1	0	0.6721	0	1
NaN	1.2	116	1	79	0.5065	1	0	0.6741	0	1
NaN	1.2	117	2	66	0.5067	2	0	0.7432	0	1
NaN	1.2	118	2	84	0.5065	2	0	0.7679	0	1
NaN	1.2	119	1	50	0.5053	1	0	0.6718	0	1
NaN	1.2	120	1	131	0.5047	1	0	1.0114	0	1
NaN	1.2	121	1	62	0.5053	1	0	0.7758	0	1
NaN	1.2	122	1	31	0.5051	1	0	0.9506	0	1
NaN	1.2	123	1	152	0.4997	1	0	0.7569	0	1
NaN	1.2	124	1	121	0.5043	1	0	0.7825	0	1
NaN	1.2	125	1	41	0.5039	1	0	0.6883	0	1
NaN	1.2	126	1	94	0.5035	1	0	0.6737	0	1
NaN	1.2	127	1	107	0.5035	1	0	0.8432	0	1
NaN	1.2	128	1	163	0.5061	1	0	0.6623	0	1
NaN	1.2	129	1	51	0.5046	1	0	0.9049	0	1
NaN	1.2	130	2	18	0.505	2	0	0.836	0	1
NaN	1.2	131	1	95	0.5038	2	0	0.9121	0	0
NaN	1.2	132	1	81	0.5037	1	0	0.8079	0	1
NaN	1.2	133	1	141	0.5038	1	0	0.7815	0	1
NaN	1.2	134	1	176	0.5026	1	0	0.732	0	1
NaN	1.2	135	1	17	0.51	1	0	0.8153	0	1
NaN	1.2	136	1	77	0.502	1	0	0.7812	0	1
NaN	1.2	137	1	59	0.5112	1	0	0.5897	0	1
