onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.20560915857459	1.2001	1	2	91	0.5041	2	0	1.4841	0	1
NaN	1.2001	2	2	43	0.5149	2	0	0.95	0	1
NaN	1.2001	3	2	89	0.5094	2	0	0.7369	0	1
NaN	1.2	4	2	159	0.5078	2	0	0.5287	0	1
NaN	1.2	5	2	75	0.5083	2	0	0.57	0	1
NaN	1.2	6	1	174	0.5065	2	1	0.5775	0.8194	0
NaN	1.2	7	2	149	0.5052	2	0	0.8474	0	1
NaN	1.2	8	2	158	0.5057	2	0	0.6439	0	1
NaN	1.2	9	1	96	0.5053	1	0	0.6305	0	1
NaN	1.2	10	2	166	0.5038	2	0	0.6546	0	1
NaN	1.2	11	1	12	0.5036	1	0	0.61	0	1
NaN	1.2	12	2	47	0.5035	2	0	0.9474	0	1
NaN	1.2	13	2	45	0.5031	2	0	0.7001	0	1
NaN	1.2	14	2	128	0.5027	2	0	0.8363	0	1
NaN	1.2	15	2	153	0.5028	2	0	0.5813	0	1
NaN	1.2	16	2	124	0.5096	2	0	0.5824	0	1
NaN	1.2	17	2	74	0.5093	2	0	0.6324	0	1
NaN	1.2	18	2	46	0.5096	2	0	0.8959	0	1
NaN	1.2	19	2	80	0.5092	2	0	0.7472	0	1
NaN	1.2	20	2	59	0.5089	2	0	0.6606	0	1
NaN	1.2	21	1	48	0.5088	1	0	0.9414	0	1
NaN	1.2	22	2	1	0.508	2	0	0.7948	0	1
NaN	1.2	23	2	163	0.508	2	0	0.5917	0	1
NaN	1.2	24	2	2	0.5089	2	0	0.558	0	1
NaN	1.2	25	2	21	0.5085	2	0	0.5426	0	1
NaN	1.2	26	1	72	0.5079	2	0	0.5727	0	0
NaN	1.2	27	2	44	0.5073	2	0	0.8786	0	1
NaN	1.2	28	2	92	0.507	2	0	0.864	0	1
NaN	1.2	29	2	148	0.5066	2	0	0.8256	0	1
NaN	1.2	30	2	172	0.5062	2	0	0.8799	0	1
NaN	1.2	31	1	36	0.5057	1	0	0.8225	0	1
NaN	1.2	32	2	121	0.5051	2	0	0.7043	0	1
NaN	1.2	33	2	8	0.5048	2	0	0.5159	0	1
NaN	1.2	34	2	129	0.5041	2	0	0.5791	0	1
NaN	1.2	35	2	3	0.5131	2	0	0.5423	0	1
NaN	1.2	36	1	132	0.5033	1	0	0.7234	0	1
NaN	1.2	37	2	140	0.5034	2	0	0.6771	0	1
NaN	1.2	38	2	77	0.5058	2	0	0.6198	0	1
NaN	1.2	39	1	108	0.505	1	0	0.7575	0	1
NaN	1.2	40	1	162	0.5046	1	0	0.6057	0	1
NaN	1.2	41	2	62	0.5041	2	0	0.6031	0	1
NaN	1.2	42	2	152	0.5037	2	0	0.6061	0	1
NaN	1.2	43	2	76	0.5103	2	0	0.5962	0	1
NaN	1.2	44	2	105	0.511	1	0	1.0488	0	0
NaN	1.2	45	2	63	0.5102	2	0	0.7445	0	1
NaN	1.2	46	2	170	0.509	2	0	0.9207	0	1
NaN	1.2	47	2	147	0.5089	2	0	0.8319	0	1
NaN	1.2	48	1	120	0.5084	2	0	1.0762	0	0
NaN	1.2	49	2	145	0.5087	2	0	0.9415	0	1
NaN	1.2	50	2	179	0.5077	2	0	0.8433	0	1
