onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.20743943955767	1.2002	1	2	6	0.5036	2	0	1.0757	0	1
NaN	1.2001	2	1	115	0.5135	1	0	0.7038	0	1
NaN	1.2001	3	1	79	0.5102	2	0	0.8265	0	0
NaN	1.2	4	1	137	0.5077	1	0	0.8628	0	1
NaN	1.2	5	1	124	0.5191	1	0	0.7713	0	1
NaN	1.2	6	1	81	0.5078	1	0	0.654	0	1
NaN	1.2	7	1	53	0.5067	1	0	0.6397	0	1
NaN	1.2	8	2	162	0.5068	2	0	0.7027	0	1
NaN	1.2	9	1	129	0.506	1	0	0.6556	0	1
NaN	1.2	10	1	151	0.5057	1	0	0.5972	0	1
NaN	1.2	11	1	8	0.5065	1	0	0.8485	0	1
NaN	1.2	12	2	72	0.506	2	0	0.8742	0	1
NaN	1.2	13	1	16	0.5049	1	0	0.7047	0	1
NaN	1.2	14	1	139	0.5045	1	0	0.5902	0	1
NaN	1.2	15	1	169	0.5047	1	0	0.5358	0	1
NaN	1.2	16	1	13	0.5035	2	0	0.8774	0	0
NaN	1.2	17	2	120	0.5032	2	0	1.065	0	1
NaN	1.2	18	1	45	0.5029	1	0	0.8741	0	1
NaN	1.2	19	2	138	0.5032	2	0	0.7824	0	1
NaN	1.2	20	2	60	0.5029	1	0	0.7353	0	0
NaN	1.2	21	1	104	0.5027	2	0	0.7919	0	0
NaN	1.2	22	1	46	0.5023	1	0	1.0426	0	1
NaN	1.2	23	1	173	0.51	1	0	1.0812	0	1
NaN	1.2	24	1	55	0.5105	1	0	1.0159	0	1
NaN	1.2	25	1	155	0.5092	1	0	0.9648	0	1
NaN	1.2	26	2	90	0.5088	2	0	1.0688	0	1
NaN	1.2	27	2	18	0.5096	2	0	1.0273	0	1
NaN	1.2	28	1	51	0.5094	1	0	1.2369	0	1
NaN	1.2	29	1	165	0.508	1	0	0.8357	0	1
NaN	1.2	30	1	64	0.507	1	0	0.8556	0	1
NaN	1.2	31	1	179	0.5066	1	0	0.8325	0	1
NaN	1.2	32	1	19	0.5071	1	0	0.6773	0	1
NaN	1.2	33	1	62	0.5064	1	0	0.6606	0	1
NaN	1.2	34	1	110	0.5069	1	0	0.7985	0	1
NaN	1.2	35	1	14	0.506	1	0	0.61	0	1
NaN	1.2	36	1	93	0.5056	1	0	0.5672	0	1
NaN	1.2	37	1	100	0.5057	1	0	0.9433	0	1
NaN	1.2	38	1	125	0.5055	1	0	0.8195	0	1
NaN	1.2	39	1	101	0.5044	1	0	0.7968	0	1
NaN	1.2	40	2	108	0.5057	2	0	0.944	0	1
NaN	1.2	41	1	122	0.5039	1	0	0.798	0	1
NaN	1.2	42	1	3	0.5046	1	0	0.6898	0	1
NaN	1.2	43	1	4	0.5042	1	0	0.5867	0	1
NaN	1.2	44	1	152	0.5043	1	0	0.6421	0	1
NaN	1.2	45	1	106	0.5027	1	0	0.813	0	1
NaN	1.2	46	2	24	0.5035	1	0	0.6452	0	0
NaN	1.2	47	1	141	0.5021	1	0	0.6605	0	1
NaN	1.2	48	1	69	0.5027	1	0	0.6224	0	1
NaN	1.2	49	1	49	0.5122	1	0	0.6001	0	1
NaN	1.2	50	1	44	0.511	1	0	0.5214	0	1
NaN	1.2	51	1	33	0.5107	1	0	0.5817	0	1
NaN	1.2	52	1	38	0.5089	1	0	0.5384	0	1
NaN	1.2	53	2	96	0.5121	2	0	0.67	0	1
NaN	1.2	54	1	22	0.5082	1	0	0.4458	0	1
NaN	1.2	55	1	21	0.5094	1	0	0.9058	0	1
NaN	1.2	56	1	25	0.5075	1	0	0.8187	0	1
NaN	1.2	57	1	40	0.5156	1	0	0.5527	0	1
NaN	1.2	58	1	109	0.5091	1	0	0.529	0	1
NaN	1.2	59	1	177	0.5081	1	0	0.4934	0	1
NaN	1.2	60	1	131	0.508	1	0	0.4679	0	1
NaN	1.2	61	1	57	0.508	1	0	0.5082	0	1
NaN	1.2	62	2	156	0.5095	2	0	0.6953	0	1
NaN	1.2	63	1	83	0.5065	1	0	0.6095	0	1
NaN	1.2	64	1	119	0.5055	1	0	0.663	0	1
NaN	1.2	65	2	102	0.5056	2	0	0.7203	0	1
NaN	1.2	66	1	63	0.506	1	0	0.6182	0	1
NaN	1.2	67	1	133	0.5046	1	0	0.8282	0	1
NaN	1.2	68	2	54	0.5042	2	0	0.6856	0	1
NaN	1.2	69	1	74	0.5048	1	0	0.9177	0	1
NaN	1.2	70	2	174	0.5039	2	0	0.959	0	1
NaN	1.2	71	1	160	0.5045	1	0	0.8218	0	1
NaN	1.2	72	1	117	0.5031	1	0	0.9325	0	1
NaN	1.2	73	1	153	0.5024	1	0	0.7426	0	1
NaN	1.2	74	1	58	0.5026	1	0	0.6058	0	1
NaN	1.2	75	1	86	0.502	1	0	0.4829	0	1
NaN	1.2	76	1	123	0.5027	1	0	0.5146	0	1
NaN	1.2	77	1	128	0.5112	1	0	0.5821	0	1
NaN	1.2	78	1	56	0.5088	1	0	0.9301	0	1
NaN	1.2	79	1	82	0.5105	1	0	0.6693	0	1
NaN	1.2	80	1	11	0.5098	1	0	0.6635	0	1
NaN	1.2	81	2	144	0.5095	2	0	0.9054	0	1
NaN	1.2	82	1	164	0.5092	1	0	0.917	0	1
NaN	1.2	83	2	180	0.5097	2	0	0.7527	0	1
NaN	1.2	84	1	34	0.508	1	0	0.6104	0	1
NaN	1.2	85	1	107	0.509	1	0	0.6239	0	1
NaN	1.2	86	1	85	0.5089	1	0	0.6826	0	1
NaN	1.2	87	1	163	0.5073	1	0	0.9632	0	1
NaN	1.2	88	1	158	0.5072	1	0	0.7222	0	1
NaN	1.2	89	1	50	0.5081	1	0	0.647	0	1
NaN	1.2	90	1	1	0.5072	1	0	0.4383	0	1
NaN	1.2	91	2	150	0.5059	2	0	0.7629	0	1
NaN	1.2	92	1	88	0.5055	1	0	0.4545	0	1
NaN	1.2	93	1	147	0.5063	1	0	0.6649	0	1
NaN	1.2	94	2	168	0.5062	1	0	0.5236	0	0
NaN	1.2	95	1	27	0.506	1	0	0.504	0	1
NaN	1.2	96	2	48	0.5063	1	0	0.4499	0	0
NaN	1.2	97	1	70	0.505	1	0	0.6115	0	1
NaN	1.2	98	1	52	0.5072	1	0	0.7212	0	1
NaN	1.2	99	1	130	0.5033	1	0	0.7083	0	1
NaN	1.2	100	2	42	0.5043	2	0	0.7619	0	1
NaN	1.2	101	1	166	0.5042	1	0	0.5669	0	1
NaN	1.2	102	1	80	0.505	1	0	0.61	0	1
NaN	1.2	103	1	5	0.5039	1	0	0.6506	0	1
NaN	1.2	104	1	145	0.5032	1	0	0.7232	0	1
NaN	1.2	105	2	66	0.5102	2	0	0.7526	0	1
NaN	1.2	106	2	84	0.5099	1	0	1.0225	0	0
NaN	1.2	107	1	89	0.5091	1	0	0.6762	0	1
NaN	1.2	108	1	142	0.5086	1	0	0.6025	0	1
NaN	1.2	109	1	159	0.5102	1	0	0.7228	0	1
NaN	1.2	110	1	112	0.5096	1	0	0.7798	0	1
NaN	1.2	111	1	41	0.5077	1	0	0.6793	0	1
NaN	1.2	112	1	113	0.5074	1	0	0.8085	0	1
NaN	1.2	113	1	35	0.5083	1	0	0.7824	0	1
NaN	1.2	114	1	105	0.5069	1	0	0.9229	0	1
NaN	1.2	115	2	12	0.5073	2	0	0.6823	0	1
NaN	1.2	116	1	127	0.507	1	0	0.8968	0	1
