trial_num	target_nontarget	image_id	transition_duration	trial_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	start_end_time
1	1	3	0.8073	1.0001	1	0	0.9958	0	3.005814336
2	1	1	0.7968	1	1	0	0.7538	0	NaN
3	1	7	0.7951	1	1	0	0.7	0	NaN
4	1	8	0.8107	1	0	0	0	0	NaN
5	1	1	0.81	1	1	0	0.0484	0	NaN
6	2	11	0.8074	1.0001	1	0	0.1128	0	NaN
7	1	8	0.8088	1	1	0	0.6283	0	NaN
8	1	3	0.8036	1	1	0	0.724	0	NaN
9	1	2	0.8028	1	1	0	0.5767	0	NaN
10	1	6	0.8076	1	1	0	0.6171	0	NaN
11	2	11	0.807	1	0	0	0	0	NaN
12	1	10	0.802	1	1	0	0.7333	0	NaN
13	1	3	0.8059	1	1	0	0.659	0	NaN
14	1	4	0.8053	1	1	0	0.6636	0	NaN
15	1	2	0.8049	1	1	0	0.8762	0	NaN
16	1	9	0.8043	1	1	0	0.7639	0	NaN
17	1	6	0.8041	1	1	0	0.7135	0	NaN
18	1	5	0.8035	1	0	0	0	0	NaN
19	1	9	0.8036	1	1	0	0.2328	0	NaN
20	2	11	0.8033	1	1	0	0.0394	0	NaN
21	1	8	0.8027	1	1	0	0.7011	0	NaN
22	1	10	0.7974	1	1	0	0.8136	0	NaN
23	1	8	0.7974	1	1	0	0.8202	0	NaN
24	1	4	0.7961	1	1	0	0.9358	0	NaN
25	1	7	0.7971	1	0	0	0	0	NaN
26	2	11	0.8003	1	1	0	0.0431	0	NaN
27	1	8	0.8004	1	1	0	0.0548	0	NaN
28	1	6	0.7991	1	1	0	0.5783	0	NaN
29	1	7	0.7995	1	1	0	0.553	0	NaN
30	1	10	0.7946	1	1	0	0.6375	0	NaN
31	1	2	0.7983	1	1	0	0.6701	0	NaN
32	1	5	0.8147	1	1	0	0.8677	0	NaN
33	1	1	0.8142	1	1	0	0.8933	0	NaN
34	1	7	0.8136	1	1	0	0.822	0	NaN
35	1	4	0.8084	1	1	0	0.8017	0	NaN
36	1	5	0.8133	1	1	0	0.8432	0	NaN
37	1	6	0.8089	1	1	0	0.75	0	NaN
38	2	11	0.8072	1	0	0	0	0	NaN
39	1	9	0.8122	1	1	0	0.698	0	NaN
40	1	5	0.8113	1	1	0	0.5817	0	NaN
41	1	2	0.8067	1	1	0	0.7804	0	NaN
42	1	5	0.8058	1	1	0	0.9089	0	NaN
43	1	1	0.8097	1	1	0	0.8655	0	NaN
