onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.00462000002153	1	1	1	3	0.8102	1	0	1.0178	0	1
NaN	1	2	1	1	0.8063	1	0	1.0216	0	1
NaN	1	3	1	7	0.7983	1	0	0.8576	0	1
NaN	1	4	1	8	0.8016	1	0	0.9523	0	1
NaN	1	5	1	1	0.8004	1	0	0.9226	0	1
NaN	1.0001	6	2	11	0.8158	0	0	0	0	1
NaN	1	7	1	8	0.8079	1	0	0.7077	0	1
NaN	1	8	1	3	0.8447	1	0	0.6335	0	1
NaN	1	9	1	2	0.8109	1	0	0.9059	0	1
NaN	1	10	1	6	0.8102	1	0	0.7626	0	1
NaN	1	11	2	11	0.8054	0	0	0	0	1
NaN	1	12	1	10	0.8049	1	0	0.5878	0	1
NaN	1	13	1	3	0.809	1	0	0.7215	0	1
NaN	1	14	1	4	0.8087	1	0	0.782	0	1
NaN	1	15	1	2	0.8083	1	0	0.8567	0	1
NaN	1	16	1	9	0.8078	0	0	0	0	0
NaN	1	17	1	6	0.8072	1	0	0.5359	0	1
NaN	1	18	1	5	0.8027	1	0	0.4665	0	1
NaN	1	19	1	9	0.8021	1	0	0.6782	0	1
NaN	1	20	2	11	0.8017	0	0	0	0	1
NaN	1	21	1	8	0.8058	1	0	0.5374	0	1
NaN	1	22	1	10	0.8006	1	0	0.708	0	1
NaN	1	23	1	8	0.8049	1	0	0.8616	0	1
NaN	1	24	1	4	0.8046	1	0	0.8673	0	1
NaN	1	25	1	7	0.8039	1	0	0.8029	0	1
NaN	1	26	2	11	0.7988	0	0	0	0	1
NaN	1	27	1	8	0.7986	1	0	0.697	0	1
NaN	1	28	1	6	0.8026	1	0	0.7517	0	1
NaN	1	29	1	7	0.7978	1	0	0.8883	0	1
NaN	1	30	1	10	0.802	1	0	0.8059	0	1
NaN	1	31	1	2	0.8025	1	0	0.8856	0	1
NaN	1	32	1	5	0.8005	1	0	0.8462	0	1
NaN	1	33	1	1	0.7968	1	0	0.8968	0	1
NaN	1	34	1	7	0.8006	1	0	0.8595	0	1
NaN	1	35	1	4	0.8003	1	0	0.9321	0	1
NaN	1	36	1	5	0.8	1	0	0.9267	0	1
NaN	1	37	1	6	0.7991	1	0	0.8734	0	1
NaN	1	38	2	11	0.7991	0	0	0	0	1
NaN	1	39	1	9	0.7989	1	0	0.7076	0	1
NaN	1	40	1	5	0.848	1	0	0.7373	0	1
NaN	1	41	1	2	0.8143	1	0	0.802	0	1
NaN	1	42	1	5	0.8144	1	0	0.7235	0	1
NaN	1	43	1	1	0.8139	1	0	0.7201	0	1
NaN	1	44	1	3	0.8088	1	0	0.7478	0	1
NaN	1	45	2	11	0.8132	1	0	0.8344	0	0
NaN	1	46	1	5	0.8126	1	0	0.8102	0	1
NaN	1	47	1	8	0.808	1	0	0.8416	0	1
NaN	1	48	1	6	0.8116	1	0	0.8223	0	1
NaN	1	49	1	10	0.8115	1	0	0.8329	0	1
NaN	1	50	1	6	0.8114	1	0	0.8695	0	1
NaN	1	51	1	1	0.8102	1	0	1.0837	0	1
NaN	1	52	1	10	0.8061	1	0	0.7728	0	1
NaN	1	53	1	4	0.8093	1	0	0.8942	0	1
NaN	1	54	2	11	0.8086	0	0	0	0	1
NaN	1	55	1	3	0.8087	1	0	0.5785	0	1
NaN	1	56	1	8	0.8089	1	0	0.773	0	1
NaN	1	57	1	5	0.8077	1	0	0.8526	0	1
NaN	1	58	1	8	0.8029	1	0	0.8463	0	1
NaN	1	59	1	9	0.8076	1	0	0.793	0	1
NaN	1	60	1	4	0.8026	1	0	0.8486	0	1
NaN	1	61	1	9	0.8064	1	0	0.8662	0	1
NaN	1	62	1	6	0.8052	1	0	0.8333	0	1
NaN	1	63	1	10	0.8047	1	0	0.9309	0	1
NaN	1	64	1	3	0.8046	1	0	0.9335	0	1
NaN	1	65	1	10	0.805	1	0	0.8232	0	1
NaN	1	66	1	4	0.8035	1	0	0.9298	0	1
NaN	1	67	2	11	0.8029	0	0	0	0	1
NaN	1	68	1	2	0.8029	1	0	0.5711	0	1
NaN	1	69	1	9	0.8024	1	0	0.7227	0	1
NaN	1	70	1	5	0.802	1	0	0.8043	0	1
NaN	1	71	2	11	0.8027	1	0	0.8529	0	0
NaN	1	72	1	3	0.8022	1	0	0.8296	0	1
NaN	1	73	1	7	0.8015	1	0	0.8142	0	1
NaN	1	74	1	4	0.8008	1	0	0.8729	0	1
NaN	1	75	1	2	0.8001	1	0	0.8485	0	1
NaN	1	76	1	7	0.7998	1	0	0.8861	0	1
NaN	1	77	1	6	0.7954	1	0	0.8197	0	1
NaN	1	78	1	2	0.7949	1	0	0.8833	0	1
NaN	1	79	1	3	0.7989	1	0	0.882	0	1
NaN	1	80	1	4	0.7982	1	0	0.8666	0	1
NaN	1	81	1	1	0.8151	1	0	0.9003	0	1
NaN	1	82	1	4	0.8138	1	0	0.8079	0	1
NaN	1	83	1	9	0.8101	1	0	0.8595	0	1
NaN	1	84	1	8	0.8094	1	0	0.8371	0	1
NaN	1	85	1	7	0.8128	1	0	0.8119	0	1
NaN	1	86	1	2	0.8121	1	0	0.9174	0	1
NaN	1	87	1	9	0.8123	1	0	0.994	0	1
NaN	1	88	1	10	0.8077	1	0	0.8247	0	1
NaN	1	89	1	2	0.807	1	0	0.8523	0	1
NaN	1	90	1	7	0.8068	1	0	0.885	0	1
NaN	1	91	2	11	0.8066	0	0	0	0	1
NaN	1	92	1	5	0.8106	1	0	0.6302	0	1
NaN	1	93	1	3	0.8102	1	0	0.7338	0	1
NaN	1	94	1	1	0.8097	1	0	0.8144	0	1
NaN	1	95	1	10	0.8092	1	0	0.7591	0	1
NaN	1	96	1	9	0.8041	1	0	1.1404	0	1
NaN	1	97	1	1	0.8084	1	0	0.8644	0	1
NaN	1	98	1	7	0.8079	1	0	0.8249	0	1
NaN	1	99	1	1	0.8078	1	0	0.8715	0	1
NaN	1	100	1	6	0.8077	1	0	0.8841	0	1
NaN	1	101	1	10	0.802	1	0	0.8648	0	1
NaN	1	102	1	6	0.8016	1	0	0.8773	0	1
NaN	1	103	1	9	0.806	1	0	0.901	0	1
NaN	1	104	1	4	0.8011	1	0	0.8676	0	1
NaN	1	105	1	8	0.8056	1	0	0.9052	0	1
NaN	1	106	1	1	0.8048	1	0	0.9379	0	1
NaN	1	107	1	6	0.8048	1	0	0.9275	0	1
NaN	1	108	1	10	0.8041	1	0	0.9052	0	1
NaN	1	109	1	2	0.804	1	0	0.9668	0	1
NaN	1	110	1	3	0.7991	1	0	0.9224	0	1
NaN	1	111	1	6	0.7982	1	0	1.0007	0	1
NaN	1	112	2	11	0.8032	0	0	0	0	1
NaN	1	113	1	5	0.8023	1	0	0.6344	0	1
NaN	1	114	1	7	0.8016	1	0	0.7689	0	1
NaN	1	115	2	11	0.8015	1	0	0.8276	0	0
NaN	1	116	1	7	0.8012	1	0	0.8062	0	1
NaN	1	117	1	1	0.8008	1	0	0.7948	0	1
NaN	1	118	1	5	0.7961	1	0	0.8394	0	1
NaN	1	119	1	7	0.7997	1	0	0.7961	0	1
NaN	1	120	1	5	0.7953	1	0	0.7888	0	1
NaN	1	121	1	3	0.7992	1	0	0.8173	0	1
NaN	1	122	1	4	0.7988	1	0	0.8019	0	1
NaN	1	123	1	10	0.7984	1	0	0.7615	0	1
NaN	1	124	1	7	0.8147	1	0	0.8682	0	1
NaN	1	125	1	2	0.8136	1	0	0.8432	0	1
NaN	1	126	1	9	0.8134	1	0	0.9298	0	1
NaN	1	127	1	8	0.809	1	0	0.9125	0	1
NaN	1	128	1	1	0.8126	1	0	0.923	0	1
NaN	1	129	1	4	0.8127	1	0	1.0063	0	1
NaN	1	130	1	3	0.8115	1	0	0.9924	0	1
NaN	1	131	2	11	0.811	0	0	0	0	1
NaN	1	132	1	2	0.8108	1	0	0.6776	0	1
NaN	1	133	1	7	0.8062	1	0	1.0017	0	1
NaN	1	134	2	11	0.8051	0	0	0	0	1
NaN	1	135	1	3	0.8097	1	0	0.7213	0	1
NaN	1	136	1	10	0.8096	1	0	0.823	0	1
NaN	1	137	1	2	0.8046	1	0	0.8726	0	1
NaN	1	138	1	6	0.8039	1	0	1.1719	0	1
NaN	1	139	1	10	0.8078	1	0	0.9749	0	1
NaN	1	140	1	9	0.8075	1	0	0.937	0	1
NaN	1	141	1	8	0.8024	1	0	0.8746	0	1
NaN	1	142	2	11	0.8021	0	0	0	0	1
NaN	1	143	1	6	0.8063	1	0	0.5299	0	1
NaN	1	144	1	8	0.8054	1	0	0.6795	0	1
NaN	1	145	1	10	0.8056	1	0	0.9652	0	1
NaN	1	146	1	1	0.8043	1	0	1.2264	0	1
NaN	1	147	1	9	0.8041	1	0	1.049	0	1
NaN	1	148	1	7	0.7992	1	0	0.918	0	1
NaN	1	149	1	9	0.7998	1	0	0.9316	0	1
NaN	1	150	2	11	0.8025	0	0	0	0	1
NaN	1	151	1	4	0.8025	1	0	0.7668	0	1
NaN	1	152	1	9	0.7974	1	0	1.1011	0	1
NaN	1	153	1	7	0.8021	1	0	0.7971	0	1
NaN	1	154	1	5	0.8018	1	0	1.0963	0	1
NaN	1	155	1	3	0.7969	1	0	1.254	0	1
NaN	1	156	1	5	0.8007	1	0	1.0686	0	1
NaN	1	157	2	11	0.7961	0	0	0	0	1
NaN	1	158	1	8	0.8003	1	0	0.6082	0	1
NaN	1	159	1	9	0.7952	1	0	0.9148	0	1
NaN	1	160	1	10	0.7997	1	0	0.7546	0	1
NaN	1	161	1	1	0.7937	1	0	1.3018	0	1
NaN	1	162	1	2	0.7986	1	0	3.0255	0	1
NaN	1	163	1	8	0.7938	1	0	3.7693	0	1
NaN	1	164	1	2	0.8141	1	0	2	0	1
NaN	1	165	1	9	0.8135	1	0	1	0	1
NaN	1	166	1	4	0.8137	1	0	0	0	1
NaN	1	167	1	7	0.8127	1	0	0.8268	0	1
NaN	1	168	1	5	0.8084	1	0	0.9965	0	1
NaN	1	169	1	1	0.8124	1	0	1.0428	0	1
NaN	1	170	1	8	0.8122	1	0	0.8867	0	1
NaN	1	171	1	3	0.8121	1	0	0.7915	0	1
NaN	1	172	1	6	0.8113	1	0	0.849	0	1
NaN	1	173	1	4	0.811	1	0	0.8386	0	1
NaN	1	174	2	11	0.8105	0	0	0	0	1
NaN	1	175	1	1	0.8099	1	0	0.7299	0	1
NaN	1	176	1	9	0.8054	1	0	0.8505	0	1
NaN	1	177	1	6	0.8046	1	0	0.8221	0	1
NaN	1	178	2	11	0.8048	1	0	1.0124	0	0
NaN	1	179	1	5	0.8042	1	0	0.8274	0	1
NaN	1	180	1	1	0.8083	1	0	0.856	0	1
NaN	1	181	1	2	0.8085	1	0	0.8897	0	1
NaN	1	182	1	10	0.8073	1	0	0.7253	0	1
NaN	1	183	1	8	0.8072	1	0	0.7429	0	1
NaN	1	184	1	3	0.8024	1	0	0.8025	0	1
NaN	1	185	1	5	0.8068	1	0	0.9002	0	1
NaN	1	186	1	8	0.8057	1	0	0.7468	0	1
NaN	1	187	1	1	0.8056	1	0	0.8705	0	1
NaN	1	188	2	11	0.8046	0	0	0	0	1
NaN	1	189	1	4	0.7994	1	0	0.6912	0	1
NaN	1	190	1	10	0.8038	1	0	0.7228	0	1
NaN	1	191	1	4	0.8029	1	0	0.8304	0	1
NaN	1	192	1	7	0.7984	1	0	0.77	0	1
NaN	1	193	1	3	0.802	1	0	0.7717	0	1
NaN	1	194	1	2	0.8019	1	0	0.8473	0	1
NaN	1	195	1	6	0.8022	1	0	0.8188	0	1
NaN	1	196	1	5	0.8019	1	0	0.8536	0	1
NaN	1	197	1	2	0.801	1	0	0.9312	0	1
NaN	1	198	1	3	0.8007	1	0	1.0114	0	1
NaN	1	199	1	4	0.8004	1	0	0.7834	0	1
NaN	1	200	1	6	0.7999	1	0	0.711	0	1
NaN	1	201	1	7	0.7987	1	0	0.7298	0	1
NaN	1	202	1	3	0.7986	1	0	0.8344	0	1
NaN	1	203	1	4	0.7987	1	0	0.873	0	1
NaN	1	204	1	7	0.7989	1	0	0.8356	0	1
NaN	1	205	1	1	0.8141	1	0	0.9343	0	1
NaN	1	206	1	6	0.8144	1	0	0.8758	0	1
NaN	1	207	1	8	0.8136	1	0	0.9645	0	1
NaN	1	208	1	1	0.8138	1	0	0.7391	0	1
NaN	1	209	1	3	0.8132	1	0	0.7748	0	1
NaN	1	210	1	7	0.8126	1	0	0.7554	0	1
NaN	1	211	1	10	0.8125	1	0	0.841	0	1
NaN	1	212	1	4	0.8117	1	0	0.8967	0	1
NaN	1	213	1	1	0.8109	1	0	0.8343	0	1
NaN	1	214	2	11	0.8111	0	0	0	0	1
NaN	1	215	1	2	0.8062	1	0	0.7675	0	1
NaN	1	216	1	6	0.8054	1	0	0.7712	0	1
NaN	1	217	1	3	0.8092	1	0	0.6828	0	1
NaN	1	218	1	7	0.8055	1	0	0.6635	0	1
NaN	1	219	1	4	0.8052	1	0	0.7902	0	1
NaN	1	220	1	8	0.8037	1	0	0.8167	0	1
NaN	1	221	1	9	0.8034	1	0	0.7884	0	1
NaN	1	222	1	1	0.8079	1	0	0.713	0	1
NaN	1	223	1	4	0.8079	1	0	0.7756	0	1
NaN	1	224	1	5	0.8075	1	0	0.7943	0	1
NaN	1	225	1	9	0.8069	1	0	0.7779	0	1
NaN	1	226	1	1	0.8018	1	0	0.9695	0	1
NaN	1	227	1	8	0.8015	1	0	0.6951	0	1
NaN	1	228	1	2	0.8063	1	0	0.7358	0	1
NaN	1	229	2	11	0.8009	1	0	0.7733	0	0
NaN	1	230	1	3	0.8045	1	0	0.826	0	1
NaN	1	231	1	8	0.8046	1	0	0.7985	0	1
NaN	1	232	2	11	0.8042	0	0	0	0	1
NaN	1	233	1	8	0.7996	1	0	0.6538	0	1
NaN	1	234	1	6	0.8036	1	0	0.7844	0	1
NaN	1	235	1	3	0.8024	1	0	0.7271	0	1
NaN	1	236	1	4	0.7984	1	0	0.7057	0	1
NaN	1	237	2	11	0.8025	1	0	0.6463	0	0
NaN	1	238	1	9	0.8019	1	0	0.952	0	1
NaN	1	239	1	10	0.8015	1	0	0.8466	0	1
NaN	1	240	1	7	0.8011	1	0	0.9312	0	1
NaN	1	241	1	8	0.8008	1	0	0.7778	0	1
NaN	1	242	1	10	0.7997	1	0	0.7265	0	1
NaN	1	243	2	11	0.7998	1	0	0.8241	0	0
NaN	1	244	1	2	0.7996	1	0	0.8847	0	1
NaN	1	245	1	8	0.7989	1	0	0.8853	0	1
NaN	1	246	1	6	0.7988	1	0	0.7829	0	1
NaN	1	247	1	2	0.7977	1	0	0.8605	0	1
NaN	1	248	2	11	0.8093	0	0	0	0	1
NaN	1	249	1	4	0.8136	1	0	0.6348	0	1
NaN	1	250	2	11	0.809	0	0	0	0	1
NaN	1	251	1	10	0.8081	1	0	0.7315	0	1
NaN	1	252	1	2	0.812	1	0	0.8181	0	1
NaN	1	253	1	10	0.8075	1	0	0.7168	0	1
NaN	1	254	1	6	0.8114	1	0	0.8973	0	1
NaN	1	255	1	5	0.8063	1	0	0.7911	0	1
NaN	1	256	1	4	0.8067	1	0	0.7716	0	1
NaN	1	257	1	7	0.8055	1	0	0.7882	0	1
