onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.00578819698421	1.0001	1	1	3	0.809	1	0	0.8842	0	1
NaN	1	2	1	1	0.807	1	0	0.74	0	1
NaN	1	3	1	7	0.806	1	0	0.6552	0	1
NaN	1	4	1	8	0.804	1	0	0.6983	0	1
NaN	1	5	1	1	0.8369	1	0	0.8656	0	1
NaN	1.0001	6	2	11	0.8018	0	0	0	0	1
NaN	1	7	1	8	0.7984	1	0	0.6145	0	1
NaN	1	8	1	3	0.8141	1	0	0.5983	0	1
NaN	1	9	1	2	0.813	1	0	0.7196	0	1
NaN	1	10	1	6	0.8088	1	0	0.7113	0	1
NaN	1	11	2	11	0.8128	0	0	0	0	1
NaN	1	12	1	10	0.8119	1	0	0.5565	0	1
NaN	1	13	1	3	0.8113	1	0	0.646	0	1
NaN	1	14	1	4	0.8114	1	0	0.7266	0	1
NaN	1	15	1	2	0.8107	1	0	0.6653	0	1
NaN	1	16	1	9	0.8055	1	0	0.7988	0	1
NaN	1	17	1	6	0.8099	1	0	0.7354	0	1
NaN	1	18	1	5	0.81	1	0	1.0336	0	1
NaN	1	19	1	9	0.8095	1	0	1.0862	0	1
NaN	1	20	2	11	0.8089	0	0	0	0	1
NaN	1	21	1	8	0.8083	1	0	0.9028	0	1
NaN	1	22	1	10	0.8081	1	0	0.7546	0	1
NaN	1	23	1	8	0.8077	1	0	0.7751	0	1
NaN	1	24	1	4	0.807	1	0	0.7506	0	1
NaN	1	25	1	7	0.8024	1	0	0.7083	0	1
NaN	1	26	2	11	0.8014	0	0	0	0	1
NaN	1	27	1	8	0.802	1	0	0.7206	0	1
NaN	1	28	1	6	0.805	1	0	0.6332	0	1
NaN	1	29	1	7	0.8011	1	0	0.6608	0	1
NaN	1	30	1	10	0.8051	1	0	0.6865	0	1
NaN	1	31	1	2	0.8041	1	0	0.826	0	1
NaN	1	32	1	5	0.8044	1	0	0.8366	0	1
NaN	1	33	1	1	0.8374	1	0	0.9153	0	1
NaN	1	34	1	7	0.7988	1	0	0.8169	0	1
NaN	1	35	1	4	0.802	1	0	0.7826	0	1
NaN	1	36	1	5	0.7986	1	0	0.7932	0	1
NaN	1	37	1	6	0.802	1	0	0.7598	0	1
NaN	1	38	2	11	0.797	0	0	0	0	1
NaN	1	39	1	9	0.8007	1	0	0.6179	0	1
NaN	1	40	1	5	0.8005	1	0	0.7334	0	1
NaN	1	41	1	2	0.8004	1	0	0.7201	0	1
NaN	1	42	1	5	0.8	1	0	0.7397	0	1
NaN	1	43	1	1	0.7994	1	0	0.7683	0	1
NaN	1	44	1	3	0.799	1	0	0.6971	0	1
NaN	1	45	2	11	0.7988	0	0	0	0	1
NaN	1	46	1	5	0.8141	1	0	0.6502	0	1
NaN	1	47	1	8	0.8101	1	0	0.5439	0	1
NaN	1	48	1	6	0.814	1	0	0.5924	0	1
NaN	1	49	1	10	0.8146	1	0	0.559	0	1
NaN	1	50	1	6	0.8131	1	0	0.6146	0	1
NaN	1	51	1	1	0.8128	1	0	0.8301	0	1
NaN	1	52	1	10	0.8127	1	0	0.7198	0	1
NaN	1	53	1	4	0.8115	1	0	0.7284	0	1
NaN	1	54	2	11	0.8116	0	0	0	0	1
NaN	1	55	1	3	0.8109	1	0	0.5906	0	1
NaN	1	56	1	8	0.8109	1	0	0.5932	0	1
NaN	1	57	1	5	0.8058	1	0	0.6268	0	1
NaN	1	58	1	8	0.8095	1	0	0.6405	0	1
NaN	1	59	1	9	0.8087	1	0	0.7843	0	1
NaN	1	60	1	4	0.8079	1	0	0.772	0	1
NaN	1	61	1	9	0.8074	1	0	0.8436	0	1
NaN	1	62	1	6	0.8073	1	0	0.8413	0	1
NaN	1	63	1	10	0.8067	1	0	0.8399	0	1
NaN	1	64	1	3	0.8072	1	0	0.7786	0	1
NaN	1	65	1	10	0.8059	1	0	0.7602	0	1
NaN	1	66	1	4	0.802	1	0	0.7487	0	1
NaN	1	67	2	11	0.8056	0	0	0	0	1
NaN	1	68	1	2	0.8009	1	0	0.5361	0	1
NaN	1	69	1	9	0.8051	1	0	0.5456	0	1
NaN	1	70	1	5	0.8001	1	0	0.5512	0	1
NaN	1	71	2	11	0.7996	0	0	0	0	1
NaN	1	72	1	3	0.7997	1	0	0.6284	0	1
NaN	1	73	1	7	0.8026	1	0	0.558	0	1
NaN	1	74	1	4	0.7978	1	0	0.6726	0	1
NaN	1	75	1	2	0.8024	1	0	0.6922	0	1
NaN	1	76	1	7	0.7972	1	0	0.7548	0	1
NaN	1	77	1	6	0.7965	1	0	0.7095	0	1
NaN	1	78	1	2	0.7961	1	0	0.7681	0	1
NaN	1	79	1	3	0.8007	1	0	1.0483	0	1
NaN	1	80	1	4	0.7954	1	0	0.7663	0	1
NaN	1	81	1	1	0.7997	1	0	0.8694	0	1
NaN	1	82	1	4	0.7987	1	0	0.789	0	1
NaN	1	83	1	9	0.7989	1	0	0.7397	0	1
NaN	1	84	1	8	0.7984	1	0	0.8623	0	1
NaN	1	85	1	7	0.81	1	0	0.8329	0	1
NaN	1	86	1	2	0.8145	1	0	0.8605	0	1
NaN	1	87	1	9	0.8097	1	0	0.9101	0	1
NaN	1	88	1	10	0.8135	1	0	0.7769	0	1
NaN	1	89	1	2	0.8086	1	0	0.7784	0	1
NaN	1	90	1	7	0.812	1	0	0.769	0	1
NaN	1	91	2	11	0.8078	0	0	0	0	1
NaN	1	92	1	5	0.8117	1	0	0.5973	0	1
NaN	1	93	1	3	0.811	1	0	0.4908	0	1
NaN	1	94	1	1	0.8107	1	0	0.7155	0	1
NaN	1	95	1	10	0.8108	1	0	0.6821	0	1
NaN	1	96	1	9	0.8052	1	0	0.6886	0	1
NaN	1	97	1	1	0.8105	1	0	0.6973	0	1
NaN	1	98	1	7	0.8045	1	0	0.6839	0	1
NaN	1	99	1	1	0.8047	1	0	0.7126	0	1
NaN	1	100	1	6	0.8036	1	0	0.7222	0	1
NaN	1	101	1	10	0.8082	1	0	0.7778	0	1
NaN	1	102	1	6	0.8081	1	0	0.8154	0	1
NaN	1	103	1	9	0.8072	1	0	0.848	0	1
NaN	1	104	1	4	0.8064	1	0	0.8376	0	1
NaN	1	105	1	8	0.8061	1	0	0.7402	0	1
NaN	1	106	1	1	0.8066	1	0	0.7128	0	1
NaN	1	107	1	6	0.8061	1	0	0.6995	0	1
NaN	1	108	1	10	0.8054	1	0	0.7311	0	1
NaN	1	109	1	2	0.8007	1	0	0.7568	0	1
NaN	1	110	1	3	0.8001	1	0	0.6493	0	1
NaN	1	111	1	6	0.8047	1	0	0.6869	0	1
NaN	1	112	2	11	0.8035	0	0	0	0	1
NaN	1	113	1	5	0.8037	1	0	0.6621	0	1
NaN	1	114	1	7	0.8032	1	0	0.6757	0	1
NaN	1	115	2	11	0.802	1	0	0.7414	0	0
NaN	1	116	1	7	0.8025	1	0	0.691	0	1
NaN	1	117	1	1	0.8019	1	0	0.7546	0	1
NaN	1	118	1	5	0.7967	1	0	0.6723	0	1
NaN	1	119	1	7	0.8008	1	0	0.6907	0	1
NaN	1	120	1	5	0.7961	1	0	0.7135	0	1
NaN	1	121	1	3	0.8	1	0	0.758	0	1
NaN	1	122	1	4	0.7952	1	0	0.7646	0	1
NaN	1	123	1	10	0.7985	1	0	0.7265	0	1
NaN	1	124	1	7	0.7979	1	0	0.7313	0	1
NaN	1	125	1	2	0.8102	1	0	0.7999	0	1
NaN	1	126	1	9	0.8145	1	0	0.8684	0	1
NaN	1	127	1	8	0.8136	1	0	0.8112	0	1
NaN	1	128	1	1	0.8126	1	0	0.8206	0	1
NaN	1	129	1	4	0.813	1	0	0.8433	0	1
NaN	1	130	1	3	0.8124	1	0	0.7689	0	1
NaN	1	131	2	11	0.8082	0	0	0	0	1
NaN	1	132	1	2	0.8118	1	0	0.6123	0	1
