onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.00560237599984	1.0001	1	1	3	0.8034	1	0	0.8234	0	1
NaN	1	2	1	1	0.8142	1	0	0.8325	0	1
NaN	1	3	1	7	0.812	1	0	0.8658	0	1
NaN	1	4	1	8	0.8073	1	0	0.9239	0	1
NaN	1	5	1	1	0.8106	1	0	0.8551	0	1
NaN	1.0001	6	2	11	0.8086	0	0	0	0	1
NaN	1	7	1	8	0.8061	1	0	0.7183	0	1
NaN	1	8	1	3	0.8046	1	0	0.928	0	1
NaN	1	9	1	2	0.7989	1	0	0.8245	0	1
NaN	1	10	1	6	0.8037	1	0	0.7821	0	1
NaN	1	11	2	11	0.8032	0	0	0	0	1
NaN	1	12	1	10	0.8025	1	0	0.6593	0	1
NaN	1	13	1	3	0.7979	1	0	0.8029	0	1
NaN	1	14	1	4	0.8014	1	0	0.9025	0	1
NaN	1	15	1	2	0.7967	1	0	0.7932	0	1
NaN	1	16	1	9	0.8003	1	0	0.9068	0	1
NaN	1	17	1	6	0.8006	1	0	0.8554	0	1
NaN	1	18	1	5	0.7996	1	0	0.861	0	1
NaN	1	19	1	9	0.8004	1	0	1.1603	0	1
NaN	1	20	2	11	0.7989	0	0	0	0	1
NaN	1	21	1	8	0.7944	1	0	0.5889	0	1
NaN	1	22	1	10	0.8438	1	0	0.8286	0	1
NaN	1	23	1	8	0.7939	1	0	0.9101	0	1
NaN	1	24	1	4	0.8481	1	0	0.9577	0	1
NaN	1	25	1	7	0.8144	1	0	1.0091	0	1
NaN	1	26	2	11	0.8134	0	0	0	0	1
NaN	1	27	1	8	0.8093	1	0	0.6735	0	1
NaN	1	28	1	6	0.8082	1	0	0.7982	0	1
NaN	1	29	1	7	0.8129	1	0	0.8939	0	1
NaN	1	30	1	10	0.8413	1	0	0.9564	0	1
NaN	1	31	1	2	0.8118	1	0	0.9091	0	1
NaN	1	32	1	5	0.8107	1	0	0.8737	0	1
NaN	1	33	1	1	0.8111	1	0	0.8263	0	1
NaN	1	34	1	7	0.8109	1	0	0.7751	0	1
NaN	1	35	1	4	0.8106	1	0	0.7796	0	1
NaN	1	36	1	5	0.8052	1	0	0.8232	0	1
NaN	1	37	1	6	0.8097	1	0	0.8088	0	1
NaN	1	38	2	11	0.809	0	0	0	0	1
NaN	1	39	1	9	0.8083	1	0	0.689	0	1
NaN	1	40	1	5	0.8084	1	0	0.7077	0	1
NaN	1	41	1	2	0.8069	1	0	0.8252	0	1
NaN	1	42	1	5	0.8069	1	0	0.8715	0	1
NaN	1	43	1	1	0.8068	1	0	0.8573	0	1
NaN	1	44	1	3	0.8062	1	0	0.8159	0	1
NaN	1	45	2	11	0.8017	0	0	0	0	1
NaN	1	46	1	5	0.8059	1	0	0.6051	0	1
NaN	1	47	1	8	0.801	1	0	0.7177	0	1
NaN	1	48	1	6	0.8049	1	0	0.6893	0	1
NaN	1	49	1	10	0.805	1	0	0.707	0	1
NaN	1	50	1	6	0.8044	1	0	0.6857	0	1
NaN	1	51	1	1	0.7995	1	0	0.7683	0	1
