onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.20739082009368	1.2002	1	1	65	0.5046	1	0	0.9124	0	1
NaN	1.2001	2	1	171	0.5138	1	0	0.8112	0	1
NaN	1.2001	3	1	59	0.5106	1	0	0.7782	0	1
NaN	1.2	4	2	168	0.5096	2	0	0.6905	0	1
NaN	1.2	5	1	9	0.509	1	0	0.6267	0	1
NaN	1.2	6	1	89	0.5097	1	0	0.7765	0	1
NaN	1.2	7	1	33	0.5084	1	0	0.7679	0	1
NaN	1.2	8	1	166	0.5093	1	0	0.8846	0	1
NaN	1.2	9	1	83	0.5085	1	0	0.7991	0	1
NaN	1.2	10	1	169	0.5075	1	0	0.8247	0	1
NaN	1.2	11	2	84	0.5078	2	0	1.017	0	1
NaN	1.2	12	1	135	0.5075	1	0	0.9206	0	1
NaN	1.2	13	1	105	0.507	1	0	0.6961	0	1
NaN	1.2	14	1	2	0.5058	1	0	0.6566	0	1
NaN	1.2	15	1	70	0.5067	1	0	0.6882	0	1
NaN	1.2	16	1	34	0.5053	1	0	0.6789	0	1
NaN	1.2	17	1	47	0.5053	1	0	0.7834	0	1
NaN	1.2	18	2	60	0.5055	2	0	0.7528	0	1
NaN	1.2	19	1	27	0.5045	1	0	0.7525	0	1
NaN	1.2	20	1	103	0.5045	1	0	0.9672	0	1
NaN	1.2	21	1	32	0.505	1	0	0.7927	0	1
NaN	1.2	22	1	127	0.5039	1	0	0.8265	0	1
NaN	1.2	23	1	8	0.505	2	0	0.9793	0	0
NaN	1.2	24	1	39	0.5043	1	0	1.0373	0	1
NaN	1.2	25	1	176	0.5042	1	0	1.07	0	1
NaN	1.2	26	1	41	0.5027	1	0	0.8839	0	1
NaN	1.2	27	1	93	0.5026	1	0	0.7642	0	1
NaN	1.2	28	1	16	0.5036	1	0	0.7062	0	1
NaN	1.2	29	1	167	0.5104	1	0	0.6786	0	1
NaN	1.2	30	2	48	0.5101	2	0	0.7071	0	1
