onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.20749546834054	1.2001	1	1	143	0.5048	1	0	0.9632	0	1
NaN	1.2001	2	1	1	0.5061	1	0	0.6865	0	1
NaN	1.2001	3	1	161	0.5036	1	0	0.6057	0	1
NaN	1.2	4	1	63	0.512	1	0	0.6816	0	1
NaN	1.2	5	1	32	0.5094	1	0	0.6101	0	1
NaN	1.2	6	1	3	0.5086	1	0	0.7975	0	1
NaN	1.2	7	1	44	0.5102	1	0	0.6907	0	1
NaN	1.2	8	1	107	0.504	1	0	0.598	0	1
NaN	1.2	9	2	96	0.5094	2	0	0.5453	0	1
NaN	1.2	10	1	100	0.5075	1	0	0.7045	0	1
NaN	1.2	11	1	92	0.5087	1	0	0.5932	0	1
NaN	1.2	12	1	58	0.5072	1	0	0.6336	0	1
NaN	1.2	13	1	38	0.5075	2	0	0.6197	0	0
NaN	1.2	14	1	127	0.5076	1	0	0.7146	0	1
NaN	1.2	15	2	150	0.5146	2	0	0.6561	0	1
NaN	1.2	16	1	113	0.5055	1	0	0.5704	0	1
NaN	1.2	17	1	97	0.5052	1	0	0.4907	0	1
NaN	1.2	18	1	45	0.5132	1	0	0.5512	0	1
NaN	1.2	19	2	138	0.5164	2	0	0.6605	0	1
NaN	1.2	20	1	115	0.5049	1	0	0.7157	0	1
NaN	1.2	21	1	163	0.5049	1	0	0.6371	0	1
NaN	1.2	22	2	156	0.5112	2	0	0.6992	0	1
NaN	1.2	23	1	123	0.5135	1	0	0.5639	0	1
NaN	1.2	24	1	178	0.5037	1	0	0.6476	0	1
NaN	1.2	25	1	2	0.5036	1	0	0.6421	0	1
NaN	1.2	26	1	106	0.512	1	0	0.701	0	1
NaN	1.2	27	1	109	0.5113	1	0	0.6109	0	1
NaN	1.2	28	1	125	0.511	1	0	0.5697	0	1
NaN	1.2	29	2	6	0.5113	1	0	0.504	0	0
NaN	1.2	30	1	40	0.5105	1	0	0.7392	0	1
NaN	1.2	31	1	136	0.5104	1	0	0.8002	0	1
NaN	1.2	32	1	79	0.509	1	0	0.6253	0	1
NaN	1.2	33	1	155	0.5092	1	0	0.6401	0	1
NaN	1.2	34	1	61	0.5083	1	0	0.7815	0	1
NaN	1.2	35	1	56	0.5084	1	0	0.6825	0	1
