onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.20724702042025	1.2001	1	1	126	0.4979	1	0	0.9687	0	1
NaN	1.2001	2	2	50	0.5176	2	0	0.765	0	1
NaN	1.2001	3	2	53	0.5039	2	0	0.7744	0	1
NaN	1.2	4	2	49	0.5043	2	0	0.7439	0	1
NaN	1.2	5	2	115	0.5037	2	0	0.6738	0	1
NaN	1.2	6	2	112	0.5034	2	0	0.5928	0	1
NaN	1.2	7	2	67	0.5117	2	0	0.787	0	1
NaN	1.2	8	1	174	0.5105	1	0	0.6687	0	1
NaN	1.2	9	2	172	0.5103	2	0	0.6249	0	1
NaN	1.2	10	2	28	0.5094	2	0	0.8373	0	1
NaN	1.2	11	2	122	0.5048	2	0	0.7464	0	1
NaN	1.2	12	2	165	0.51	2	0	0.969	0	1
NaN	1.2	13	1	24	0.5103	1	0	1.0369	0	1
NaN	1.2	14	2	4	0.5116	2	0	0.9362	0	1
NaN	1.2	15	2	56	0.5036	2	0	0.5932	0	1
NaN	1.2	16	2	41	0.5084	2	0	0.5605	0	1
NaN	1.2	17	2	128	0.5078	2	0	0.5115	0	1
NaN	1.2	18	2	163	0.509	2	0	0.882	0	1
NaN	1.2	19	2	79	0.5088	2	0	0.6344	0	1
NaN	1.2	20	2	57	0.5085	2	0	0.6481	0	1
NaN	1.2	21	2	26	0.5084	2	0	0.6056	0	1
NaN	1.2	22	2	154	0.507	2	0	0.5534	0	1
NaN	1.2	23	2	179	0.5078	2	0	0.7928	0	1
NaN	1.2	24	1	48	0.5075	1	0	0.7057	0	1
NaN	1.2	25	2	9	0.5062	2	0	0.6121	0	1
NaN	1.2	26	2	77	0.5059	2	0	0.5747	0	1
NaN	1.2	27	2	169	0.5063	2	0	0.7368	0	1
NaN	1.2	28	1	18	0.5071	1	0	0.6345	0	1
NaN	1.2	29	2	81	0.5065	2	0	0.6489	0	1
NaN	1.2	30	2	155	0.5059	2	0	0.5294	0	1
NaN	1.2	31	2	75	0.5062	2	0	0.633	0	1
NaN	1.2	32	2	33	0.5057	2	0	0.7518	0	1
NaN	1.2	33	2	55	0.505	2	0	0.7344	0	1
NaN	1.2	34	1	42	0.4998	2	0	0.893	0	0
NaN	1.2	35	2	58	0.5054	2	0	0.7419	0	1
NaN	1.2	36	2	51	0.5122	2	0	0.6812	0	1
NaN	1.2	37	2	40	0.505	2	0	0.6338	0	1
NaN	1.2	38	2	65	0.5033	2	0	0.6449	0	1
NaN	1.2	39	2	2	0.5037	2	0	0.6681	0	1
NaN	1.2	40	2	88	0.5038	2	0	0.602	0	1
NaN	1.2	41	2	31	0.5042	2	0	0.5596	0	1
NaN	1.2	42	2	170	0.5034	2	0	0.5313	0	1
NaN	1.2	43	1	78	0.5039	1	0	0.5829	0	1
NaN	1.2	44	1	168	0.5116	2	0	0.6076	0	0
NaN	1.2	45	2	61	0.5112	2	0	0.5644	0	1
NaN	1.2	46	2	175	0.5113	2	0	1.0777	0	1
NaN	1.2	47	2	11	0.511	2	0	0.6334	0	1
NaN	1.2	48	2	63	0.5106	2	0	0.5351	0	1
NaN	1.2	49	2	164	0.5113	2	0	0.5836	0	1
NaN	1.2	50	2	39	0.511	2	0	0.7682	0	1
