onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.00560378200316	1	1	1	3	0.8169	1	0	0.7872	0	1
NaN	1.0001	2	1	1	0.8113	1	0	0.6745	0	1
NaN	1	3	1	7	0.8097	1	0	0.5325	0	1
NaN	1	4	1	8	0.8416	1	0	0.7525	0	1
NaN	1	5	1	1	0.8077	1	0	0.7478	0	1
NaN	1.0001	6	2	11	0.8066	0	0	0	0	1
NaN	1	7	1	8	0.8035	1	0	0.6221	0	1
NaN	1	8	1	3	0.8021	1	0	0.6087	0	1
NaN	1	9	1	2	0.8004	1	0	0.6241	0	1
NaN	1	10	1	6	0.7957	1	0	0.7148	0	1
NaN	1	11	2	11	0.8002	0	0	0	0	1
NaN	1	12	1	10	0.7955	1	0	0.5269	0	1
NaN	1	13	1	3	0.8005	1	0	0.4826	0	1
NaN	1	14	1	4	0.7987	1	0	0.5012	0	1
NaN	1	15	1	2	0.7942	1	0	0.6538	0	1
NaN	1	16	1	9	0.7939	1	0	0.7413	0	1
NaN	1	17	1	6	0.8102	1	0	0.7151	0	1
NaN	1	18	1	5	0.8145	1	0	0.8086	0	1
NaN	1	19	1	9	0.8132	1	0	0.6962	0	1
NaN	1	20	2	11	0.8132	0	0	0	0	1
NaN	1	21	1	8	0.809	1	0	0.5565	0	1
NaN	1	22	1	10	0.8122	1	0	0.6991	0	1
NaN	1	23	1	8	0.8123	1	0	0.6777	0	1
NaN	1	24	1	4	0.845	1	0	0.6013	0	1
NaN	1	25	1	7	0.8072	1	0	0.5809	0	1
NaN	1	26	2	11	0.8113	0	0	0	0	1
NaN	1	27	1	8	0.8097	1	0	0.7041	0	1
NaN	1	28	1	6	0.8109	1	0	0.5298	0	1
NaN	1	29	1	7	0.805	1	0	0.6484	0	1
NaN	1	30	1	10	0.8091	1	0	0.691	0	1
NaN	1	31	1	2	0.809	1	0	0.8236	0	1
NaN	1	32	1	5	0.8079	1	0	0.6202	0	1
NaN	1	33	1	1	0.8083	1	0	0.7218	0	1
NaN	1	34	1	7	0.8077	1	0	0.7126	0	1
NaN	1	35	1	4	0.8075	1	0	0.6782	0	1
NaN	1	36	1	5	0.8072	1	0	0.7667	0	1
NaN	1	37	1	6	0.802	1	0	0.8493	0	1
NaN	1	38	2	11	0.8064	0	0	0	0	1
NaN	1	39	1	9	0.8049	1	0	0.5494	0	1
NaN	1	40	1	5	0.8006	1	0	0.573	0	1
NaN	1	41	1	2	0.8048	1	0	0.7666	0	1
NaN	1	42	1	5	0.8049	1	0	0.8182	0	1
NaN	1	43	1	1	0.7994	1	0	0.6589	0	1
NaN	1	44	1	3	0.7993	1	0	0.6704	0	1
NaN	1	45	2	11	0.8036	0	0	0	0	1
NaN	1	46	1	5	0.7984	1	0	0.5556	0	1
NaN	1	47	1	8	0.8032	1	0	0.5292	0	1
NaN	1	48	1	6	0.7976	1	0	0.6059	0	1
