onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.0040483849989	1	1	1	3	0.8017	1	0	0.7781	0	1
NaN	1.0001	2	1	1	0.7979	1	0	0.7438	0	1
NaN	1.0001	3	1	7	0.7948	1	0	0.6271	0	1
NaN	1	4	1	8	0.8094	1	0	0.6733	0	1
NaN	1	5	1	1	0.8143	1	0	0.835	0	1
NaN	1	6	2	11	0.8075	0	0	0	0	1
NaN	1	7	1	8	0.8111	1	0	0.5038	0	1
NaN	1	8	1	3	0.8116	1	0	0.6333	0	1
NaN	1	9	1	2	0.8109	1	0	0.817	0	1
NaN	1	10	1	6	0.8106	1	0	0.6977	0	1
NaN	1	11	2	11	0.8059	0	0	0	0	1
NaN	1	12	1	10	0.809	1	0	0.5699	0	1
NaN	1	13	1	3	0.8096	1	0	0.7505	0	1
NaN	1	14	1	4	0.8082	1	0	0.8121	0	1
NaN	1	15	1	2	0.8043	1	0	0.7867	0	1
NaN	1	16	1	9	0.8079	1	0	0.8055	0	1
NaN	1	17	1	6	0.8035	1	0	0.805	0	1
NaN	1	18	1	5	0.8032	1	0	0.8426	0	1
NaN	1	19	1	9	0.8026	1	0	0.8472	0	1
NaN	1	20	2	11	0.8067	0	0	0	0	1
NaN	1	21	1	8	0.8014	1	0	0.5904	0	1
NaN	1	22	1	10	0.8058	1	0	0.723	0	1
NaN	1	23	1	8	0.8009	1	0	0.8636	0	1
NaN	1	24	1	4	0.8048	1	0	0.8532	0	1
NaN	1	25	1	7	0.8041	1	0	0.8609	0	1
NaN	1	26	2	11	0.7996	0	0	0	0	1
NaN	1	27	1	8	0.7993	1	0	0.5951	0	1
NaN	1	28	1	6	0.7982	1	0	0.6398	0	1
NaN	1	29	1	7	0.8034	1	0	0.7133	0	1
NaN	1	30	1	10	0.8016	1	0	0.9169	0	1
NaN	1	31	1	2	0.8018	1	0	0.6955	0	1
NaN	1	32	1	5	0.8013	1	0	0.8732	0	1
NaN	1	33	1	1	0.8019	1	0	1.0434	0	1
NaN	1	34	1	7	0.8007	1	0	0.7274	0	1
NaN	1	35	1	4	0.8458	1	0	0.9057	0	1
NaN	1	36	1	5	0.8003	1	0	0.8823	0	1
NaN	1	37	1	6	0.8	1	0	0.751	0	1
NaN	1	38	2	11	0.7993	0	0	0	0	1
NaN	1	39	1	9	0.7985	1	0	0.6012	0	1
NaN	1	40	1	5	0.7983	1	0	0.6478	0	1
NaN	1	41	1	2	0.8143	1	0	0.7945	0	1
NaN	1	42	1	5	0.8139	1	0	0.658	0	1
NaN	1	43	1	1	0.8138	1	0	0.8287	0	1
NaN	1	44	1	3	0.8088	1	0	0.8123	0	1
NaN	1	45	2	11	0.8127	0	0	0	0	1
NaN	1	46	1	5	0.812	1	0	0.5889	0	1
NaN	1	47	1	8	0.8113	1	0	0.8835	0	1
NaN	1	48	1	6	0.8111	1	0	0.8461	0	1
NaN	1	49	1	10	0.8106	1	0	0.8877	0	1
NaN	1	50	1	6	0.8059	1	0	0.8353	0	1
NaN	1	51	1	1	0.838	1	0	0.9369	0	1
NaN	1	52	1	10	0.8093	1	0	0.7026	0	1
NaN	1	53	1	4	0.8048	1	0	0.8212	0	1
NaN	1	54	2	11	0.8042	0	0	0	0	1
NaN	1	55	1	3	0.8086	1	0	0.5085	0	1
NaN	1	56	1	8	0.8082	1	0	0.7181	0	1
NaN	1	57	1	5	0.8076	1	0	0.8626	0	1
NaN	1	58	1	8	0.8078	1	0	0.9973	0	1
NaN	1	59	1	9	0.8026	1	0	0.8279	0	1
NaN	1	60	1	4	0.806	1	0	0.8505	0	1
NaN	1	61	1	9	0.8055	1	0	0.7511	0	1
NaN	1	62	1	6	0.8053	1	0	0.7868	0	1
NaN	1	63	1	10	0.8048	1	0	0.7554	0	1
NaN	1	64	1	3	0.8003	1	0	0.877	0	1
NaN	1	65	1	10	0.8047	1	0	0.9086	0	1
NaN	1	66	1	4	0.8	1	0	0.9563	0	1
NaN	1	67	2	11	0.8035	0	0	0	0	1
NaN	1	68	1	2	0.8026	1	0	0.5655	0	1
NaN	1	69	1	9	0.803	1	0	0.8151	0	1
NaN	1	70	1	5	0.8017	1	0	0.6728	0	1
NaN	1	71	2	11	0.8024	0	0	0	0	1
NaN	1	72	1	3	0.8017	1	0	0.6491	0	1
NaN	1	73	1	7	0.7971	1	0	0.7936	0	1
NaN	1	74	1	4	0.8001	1	0	0.7262	0	1
NaN	1	75	1	2	0.7961	1	0	0.6758	0	1
NaN	1	76	1	7	0.8001	1	0	0.8495	0	1
NaN	1	77	1	6	0.8001	1	0	0.9131	0	1
NaN	1	78	1	2	0.7993	1	0	0.8087	0	1
NaN	1	79	1	3	0.7982	1	0	0.8363	0	1
NaN	1	80	1	4	0.794	1	0	0.793	0	1
NaN	1	81	1	1	0.81	1	0	0.9396	0	1
NaN	1	82	1	4	0.81	1	0	0.8682	0	1
